geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,0.59,0.58,0.77,0.54,0.51,0.5,0.65,0.6,0.54,0.61
BE,0.4,0.36,0.36,0.43,0.43,0.44,0.41,0.46,0.4,0.42
BG,0.26,0.26,0.28,0.29,0.35,0.32,0.34,0.33,0.29,0.27
CH,0.9,0.96,1.05,1.04,1.1,1.17,1.1,1.1,1.04,0.93
CY,0.32,0.41,0.36,0.55,0.67,0.58,0.41,0.79,0.8,0.57
CZ,0.43,0.46,0.51,0.54,0.58,0.57,0.55,0.48,0.53,0.55
DE,0.48,0.47,0.45,0.48,0.49,0.5,0.5,0.47,0.42,0.42
DK,0.44,0.52,0.59,0.62,0.55,0.55,0.59,0.52,0.6,0.8
EE,0.58,0.57,0.72,0.66,0.69,0.76,0.84,0.59,0.69,0.93
EL,0.23,0.32,0.37,0.41,0.41,0.46,0.45,0.54,0.51,0.64
ES,0.68,0.81,0.78,0.77,0.76,0.8,0.81,0.8,0.86,0.83
EU27_2020,0.5,0.5,0.51,0.52,0.52,0.53,0.54,0.54,0.57,0.59
FI,0.73,0.82,0.87,0.84,0.9,0.9,0.77,0.92,0.9,0.8
FR,0.72,0.55,0.57,0.59,0.54,0.58,0.61,0.62,0.93,0.95
HR,0.34,0.42,0.29,0.3,0.34,0.52,0.55,0.29,0.43,0.46
HU,0.24,0.27,0.37,0.31,0.27,0.36,0.35,0.43,0.5,0.45
IE,0.86,0.84,0.73,0.83,0.88,0.89,0.82,0.75,0.69,0.7
IS,1.3,1.22,1.3,1.45,1.54,1.59,1.59,1.6,2.15,1.99
IT,0.4,0.47,0.43,0.42,0.44,0.4,0.48,0.5,0.37,0.46
LT,0.36,0.36,0.53,0.59,0.49,0.53,0.37,0.4,0.5,0.49
LU,0.52,0.36,0.58,0.72,0.58,0.61,0.59,0.61,0.45,0.52
LV,0.41,0.46,0.37,0.49,0.58,0.76,0.96,0.71,0.6,0.54
MK,0.14,0.21,0.22,0.14,0.23,0.21,0.2,0.2,,
MT,0.58,0.56,0.56,0.35,0.79,0.78,0.82,0.49,0.28,0.54
NL,0.59,0.63,0.68,0.67,0.67,0.65,0.7,0.71,0.75,0.66
NO,0.6,0.58,0.61,0.6,0.6,0.72,0.75,0.77,0.58,0.49
PL,0.32,0.31,0.28,0.31,0.36,0.38,0.33,0.33,0.36,0.37
PT,0.5,0.56,0.67,0.7,0.72,0.63,0.62,0.67,0.63,0.68
RO,0.13,0.11,0.11,0.12,0.13,,0.14,0.2,0.17,0.2
RS,0.36,0.48,0.57,0.37,0.46,0.46,0.48,0.4,0.48,0.42
SE,1.11,1.09,1.11,1.08,1.13,1.08,1.0,1.1,1.01,1.03
SI,0.36,0.34,0.47,0.48,0.45,0.48,0.36,0.37,0.67,0.75
SK,0.45,0.47,0.43,0.38,0.37,0.35,0.33,0.33,0.32,0.41
TR,0.2,0.19,0.23,0.2,0.22,0.26,0.26,0.19,,
UK,0.89,0.94,0.95,0.93,0.97,0.9,0.93,,,
