geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,18.0,18.0,23.9,17.2,16.6,16.4,21.6,19.8,17.9,20.7
BE,14.7,13.2,13.3,15.9,16.1,16.6,15.7,17.7,15.5,16.8
BG,6.2,6.4,7.0,7.2,9.1,8.5,9.1,8.8,7.6,7.1
CH,27.8,30.4,34.0,34.3,36.5,39.3,37.8,37.8,32.3,27.1
CY,0.9,1.1,1.0,1.5,1.9,1.8,1.3,2.5,2.6,2.0
CZ,17.2,18.5,21.1,22.8,24.8,24.9,24.1,20.9,22.9,23.9
DE,148.4,145.0,142.1,153.5,158.3,161.9,164.2,144.2,132.9,138.2
DK,8.6,10.3,11.7,12.4,11.1,11.4,12.2,10.8,12.3,16.7
EE,2.8,2.7,3.5,3.2,3.4,3.8,4.3,3.0,3.5,4.9
EL,7.0,9.5,11.5,12.7,13.2,14.9,15.1,17.8,17.1,22.3
ES,99.4,120.3,119.7,122.1,122.1,132.4,135.8,131.4,145.0,143.5
EU27_2020,741.2,752.8,768.9,791.0,807.2,828.7,857.7,845.1,891.2,943.9
FI,13.7,15.2,16.1,15.7,17.0,17.4,15.0,17.9,17.5,15.8
FR,147.9,115.6,119.4,124.1,113.6,123.1,130.3,132.5,195.1,206.0
HR,4.3,5.3,3.8,3.8,4.5,6.9,7.4,3.9,5.8,6.3
HU,7.8,9.2,12.7,10.8,9.8,13.2,12.9,15.5,18.8,17.2
IE,12.4,12.6,11.3,13.1,14.5,15.0,14.2,13.0,12.3,13.1
IS,1.6,1.5,1.6,1.9,2.0,2.1,2.2,2.2,3.0,2.9
IT,75.8,90.2,83.9,82.5,87.1,78.5,95.2,96.8,70.5,88.8
LT,3.7,3.7,5.6,6.3,5.2,5.7,4.0,4.4,5.5,5.7
LU,1.0,0.7,1.1,1.3,1.1,1.2,1.2,1.3,1.0,1.2
LV,2.8,3.1,2.6,3.4,4.0,5.5,6.9,5.1,4.2,3.8
MK,0.7,1.2,1.2,0.8,1.4,1.3,1.3,1.3,,
MT,0.7,0.8,0.8,0.5,1.3,1.3,1.5,0.9,0.6,1.2
NL,32.6,35.2,37.9,37.6,37.8,37.1,40.5,41.4,47.6,42.7
NO,11.0,11.1,11.7,11.7,11.6,14.1,15.0,15.3,11.6,9.9
PL,38.4,38.5,35.5,39.2,46.0,48.6,42.3,43.6,48.2,50.4
PT,17.6,20.2,24.3,25.8,27.2,24.3,24.3,25.8,25.0,27.1
RO,8.9,7.3,7.5,7.7,8.7,,10.2,14.2,11.1,13.0
RS,6.8,10.1,12.0,8.1,10.4,10.4,11.2,9.2,10.9,9.9
SE,39.2,38.8,39.8,39.4,42.0,40.7,38.2,42.1,38.4,40.3
SI,2.6,2.5,3.4,3.6,3.5,3.8,2.9,3.0,5.5,6.1
SK,8.5,8.9,8.3,7.6,7.7,7.4,7.0,6.8,6.9,9.1
TR,34.2,33.9,41.9,37.0,43.8,53.1,50.9,36.4,,
UK,194.6,209.0,214.5,212.4,225.3,212.8,221.6,,,
