geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CH,1.22,1.92,1.96,2.4,2.07,1.84,2.16,1.99,1.76,2.01
CZ,0.72,0.9,0.9,1.28,1.31,1.31,1.33,0.89,0.79,0.84
DE,1.02,0.82,1.1,1.04,1.17,0.99,1.04,,1.0,0.95
ES,0.78,,,0.65,1.29,0.57,0.67,,,0.7
EU27_2020,0.74,0.73,0.9,0.87,0.8,0.85,0.77,0.7,0.75,0.83
FR,1.59,1.16,2.92,2.48,1.23,2.15,,,1.26,1.34
IT,,,,0.36,0.58,0.4,0.22,0.3,0.33,0.42
NL,2.46,2.77,2.15,1.26,0.86,1.45,1.89,1.42,1.7,2.38
SE,2.11,1.99,1.92,1.84,1.28,1.44,,,,
TR,,0.19,0.16,0.13,,0.11,0.07,,,
UK,1.99,1.45,1.34,1.47,1.5,1.85,1.1,,,
