geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,0.77,1.01,1.21,1.06,0.96,0.75,0.89,1.03,0.84,0.79
BE,0.7,0.78,0.66,0.89,0.82,0.73,0.9,1.12,1.11,1.39
BG,,,,0.92,0.86,0.92,1.08,1.02,,
CH,1.0,1.15,1.14,1.47,1.22,1.38,1.56,1.42,1.47,1.72
CY,1.27,1.12,1.18,1.63,1.23,0.81,1.93,1.25,1.28,1.38
CZ,0.89,1.17,0.65,0.87,0.81,0.9,1.22,0.98,0.81,0.74
DE,0.79,0.85,0.91,0.97,1.01,1.0,1.05,1.04,0.99,1.06
DK,2.43,2.62,2.47,2.53,2.26,2.36,2.49,2.24,2.19,2.35
EE,1.87,2.91,0.99,1.29,,,1.1,1.2,,1.45
EL,0.61,1.01,0.86,0.97,1.4,1.31,1.19,1.62,1.15,2.07
ES,2.66,2.83,2.67,2.86,3.04,2.93,2.89,2.7,2.75,3.0
EU27_2020,1.13,1.19,1.23,1.29,1.32,1.32,1.38,1.35,1.32,1.51
FI,2.31,3.0,2.8,2.85,2.6,2.62,3.05,3.06,2.95,2.99
FR,1.28,1.02,1.03,1.0,1.08,1.12,0.96,1.01,1.59,1.87
HR,,,0.39,0.74,0.65,0.93,1.21,0.75,0.62,0.49
HU,0.58,0.68,0.82,0.79,0.74,0.67,1.2,1.39,1.07,1.32
IE,1.57,1.61,1.63,1.81,1.82,1.72,1.89,1.7,1.43,1.58
IS,4.28,3.9,3.95,3.7,4.3,4.21,3.83,3.92,4.65,5.15
IT,1.0,1.09,1.25,1.29,1.44,1.27,1.28,1.44,1.14,1.48
LT,,0.81,,0.61,0.89,0.76,0.56,,,0.82
LU,,,1.48,2.57,1.71,1.36,,1.4,,1.61
LV,0.98,1.12,1.32,1.11,1.03,1.74,2.14,,,
MK,,0.61,0.75,0.87,0.67,0.47,0.81,0.61,,
MT,0.85,0.91,,,,0.82,,0.92,,1.1
NL,1.59,1.49,1.76,1.98,1.69,1.85,1.88,1.71,1.25,1.53
NO,2.12,2.18,2.28,2.84,2.73,2.83,2.63,2.72,2.97,3.27
PL,0.43,0.62,0.7,0.75,0.72,0.82,0.81,0.72,0.57,0.63
PT,1.62,1.78,2.16,1.9,1.69,1.69,1.72,1.7,1.66,2.25
RS,1.2,0.98,0.8,1.27,1.35,0.79,0.71,0.68,1.01,1.29
SE,2.85,3.02,3.23,3.03,3.26,3.51,3.72,3.25,3.04,2.91
SI,0.95,1.06,1.22,1.02,1.35,0.97,1.24,1.21,1.76,1.68
SK,0.71,0.73,0.6,0.91,0.92,,0.81,1.19,,
TR,0.38,0.4,0.51,0.53,0.51,0.61,0.62,0.43,,
UK,2.19,2.43,2.59,2.73,2.59,2.85,2.56,,,
