geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,7.4,9.6,11.5,10.3,9.2,7.2,8.5,9.5,7.8,7.5
BE,5.8,6.6,5.5,7.5,6.9,6.4,8.3,9.7,9.8,12.6
BG,,,,4.1,4.0,4.0,4.7,3.9,,
CH,9.8,11.5,11.6,15.1,12.6,14.1,15.7,14.1,12.4,13.3
CY,1.0,0.9,0.9,1.2,1.0,0.7,1.7,1.1,1.1,1.3
CZ,7.3,9.6,5.4,7.1,6.6,7.3,9.7,7.2,5.8,5.1
DE,60.7,66.0,70.7,78.3,81.2,80.3,84.1,78.2,76.2,85.6
DK,14.2,15.7,15.4,15.8,14.5,15.8,16.8,14.8,14.5,16.5
EE,2.3,3.5,1.2,1.6,,,1.3,1.2,,1.6
EL,2.8,4.7,4.1,4.6,6.7,6.4,6.0,7.7,5.6,11.1
ES,63.6,66.9,63.4,69.1,77.4,77.9,79.2,66.9,73.1,86.9
EU27_2020,372.7,392.4,406.5,434.5,449.1,452.7,472.9,434.7,434.5,523.2
FI,11.9,15.2,13.9,14.4,13.4,13.8,16.3,15.5,15.1,15.6
FR,61.2,49.3,49.7,48.7,53.0,55.6,47.5,48.5,78.7,100.5
HR,,,1.0,2.2,1.9,2.7,3.6,2.1,1.7,1.4
HU,3.8,4.7,5.9,6.0,5.7,5.2,9.2,10.3,8.1,9.9
IE,6.7,6.7,6.9,8.3,8.3,8.0,9.1,7.7,7.1,8.7
IS,1.9,1.8,1.9,1.9,2.2,2.2,2.0,1.9,2.2,2.7
IT,27.1,28.6,33.0,35.1,39.9,35.6,37.0,38.8,31.1,43.7
LT,,2.0,,1.5,2.1,1.8,1.3,,,1.7
LU,,,0.7,1.1,0.7,0.6,,0.7,,0.9
LV,1.8,2.0,2.4,1.9,1.7,2.7,3.2,,,
MK,,0.7,0.9,1.1,0.9,0.6,1.1,0.8,,
MT,0.4,0.5,,,,0.5,,0.6,,0.7
NL,28.5,26.6,32.1,36.9,31.5,36.0,37.4,32.8,29.6,38.1
NO,12.4,13.0,13.8,17.1,16.5,17.4,16.4,16.7,18.4,21.5
PL,13.5,19.0,21.0,23.4,22.1,24.8,24.1,19.6,14.9,16.4
PT,10.5,11.6,14.2,12.7,12.0,12.3,12.9,11.6,11.0,15.8
RS,3.7,3.6,3.0,5.1,5.5,3.3,3.0,2.7,4.4,5.8
SE,27.9,30.5,33.5,32.0,35.5,38.3,40.2,32.7,29.8,30.2
SI,1.4,1.5,1.8,1.5,2.1,1.5,1.9,1.7,2.4,2.4
SK,3.1,3.2,2.7,4.2,4.2,,3.5,4.7,,
TR,27.7,29.9,38.9,40.2,39.5,47.0,45.9,29.4,,
UK,149.1,170.0,187.3,201.3,192.5,209.7,188.7,,,
