DATAFLOW,LAST UPDATE,freq,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,AT,2013,18.0,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,AT,2014,18.0,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,AT,2015,23.9,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,AT,2016,17.2,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,AT,2017,16.6,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,AT,2018,16.4,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,AT,2019,21.6,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,AT,2020,19.8,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,AT,2021,17.9,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,AT,2022,20.7,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BE,2013,14.7,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BE,2014,13.2,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BE,2015,13.3,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BE,2016,15.9,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BE,2017,16.1,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BE,2018,16.6,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BE,2019,15.7,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BE,2020,17.7,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BE,2021,15.5,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BE,2022,16.8,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BG,2013,6.2,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BG,2014,6.4,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BG,2015,7.0,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BG,2016,7.2,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BG,2017,9.1,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BG,2018,8.5,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BG,2019,9.1,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BG,2020,8.8,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BG,2021,7.6,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,BG,2022,7.1,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,CH,2013,27.8,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,CH,2014,30.4,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,CH,2015,34.0,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,CH,2016,34.3,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,CH,2017,36.5,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,CH,2018,39.3,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,CH,2019,37.8,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,CH,2020,37.8,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,CH,2021,32.3,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,CH,2022,27.1,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,THS_PER,CY,2013,0.9,u
