DATAFLOW,LAST UPDATE,freq,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,AT,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,AT,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,AT,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,AT,2016,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,AT,2017,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,AT,2018,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,AT,2019,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,AT,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,AT,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,AT,2022,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BE,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BE,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BE,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BE,2016,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BE,2017,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BE,2018,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BE,2019,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BE,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BE,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BE,2022,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BG,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BG,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BG,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BG,2016,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BG,2017,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BG,2018,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BG,2019,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BG,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BG,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,BG,2022,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CH,2013,1.22,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CH,2014,1.92,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CH,2015,1.96,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CH,2016,2.40,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CH,2017,2.07,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CH,2018,1.84,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CH,2019,2.16,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CH,2020,1.99,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CH,2021,1.76,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CH,2022,2.01,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CY,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CY,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CY,2015,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CY,2016,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CY,2017,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CY,2018,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CY,2019,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CY,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CY,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CY,2022,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CZ,2013,0.72,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CZ,2014,0.90,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CZ,2015,0.90,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CZ,2016,1.28,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CZ,2017,1.31,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CZ,2018,1.31,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CZ,2019,1.33,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CZ,2020,0.89,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CZ,2021,0.79,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,CZ,2022,0.84,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DE,2013,1.02,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DE,2014,0.82,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DE,2015,1.10,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DE,2016,1.04,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DE,2017,1.17,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DE,2018,0.99,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DE,2019,1.04,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DE,2020,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DE,2021,1.00,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DE,2022,0.95,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DK,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DK,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DK,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DK,2016,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DK,2017,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DK,2018,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DK,2019,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DK,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DK,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,DK,2022,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EE,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EE,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EE,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EE,2016,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EE,2017,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EE,2018,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EE,2019,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EE,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EE,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EE,2022,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EL,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EL,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EL,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EL,2016,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EL,2017,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EL,2018,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EL,2019,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EL,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EL,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EL,2022,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,ES,2013,0.78,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,ES,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,ES,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,ES,2016,0.65,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,ES,2017,1.29,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,ES,2018,0.57,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,ES,2019,0.67,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,ES,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,ES,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,ES,2022,0.70,du
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EU27_2020,2013,0.74,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EU27_2020,2014,0.73,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EU27_2020,2015,0.90,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EU27_2020,2016,0.87,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EU27_2020,2017,0.80,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EU27_2020,2018,0.85,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EU27_2020,2019,0.77,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EU27_2020,2020,0.70,
