DATAFLOW,LAST UPDATE,freq,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,AT,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,AT,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,AT,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,AT,2016,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,AT,2017,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,AT,2018,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,AT,2019,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,AT,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,AT,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,AT,2022,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BE,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BE,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BE,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BE,2016,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BE,2017,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BE,2018,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BE,2019,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BE,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BE,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BE,2022,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BG,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BG,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BG,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BG,2016,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,THS_PER,BG,2017,,u
