DATAFLOW,LAST UPDATE,freq,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,AT,2013,0.77,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,AT,2014,1.01,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,AT,2015,1.21,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,AT,2016,1.06,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,AT,2017,0.96,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,AT,2018,0.75,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,AT,2019,0.89,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,AT,2020,1.03,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,AT,2021,0.84,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,AT,2022,0.79,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,BE,2013,0.70,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,BE,2014,0.78,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,BE,2015,0.66,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,BE,2016,0.89,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,BE,2017,0.82,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,BE,2018,0.73,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,BE,2019,0.90,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,BE,2020,1.12,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y15-29,PC_EMP,BE,2021,1.11,b
