geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,0.56,0.69,0.87,0.63,0.57,,0.95,0.96,,0.64
BE,0.45,0.48,0.46,0.78,0.6,0.4,0.45,0.68,0.63,0.54
CH,0.9,1.01,0.98,0.97,0.84,1.1,1.22,0.92,0.93,1.2
CZ,0.65,0.8,0.38,0.54,0.59,0.67,0.55,0.68,0.51,0.7
DE,0.52,0.61,0.6,0.65,0.71,0.63,0.67,0.48,0.54,0.58
DK,1.77,2.07,2.2,1.97,2.0,2.05,2.14,1.78,1.88,2.16
EL,,,,,0.17,0.22,,,,
ES,0.67,0.72,0.6,0.71,0.63,0.69,0.66,0.57,0.6,0.65
EU27_2020,0.53,0.55,0.54,0.58,0.58,0.59,0.6,0.55,0.59,0.65
FI,2.11,2.91,2.74,2.58,2.72,3.42,3.8,3.77,3.08,3.64
FR,0.6,0.41,0.53,0.58,0.42,0.43,0.37,0.48,0.67,0.82
IE,0.96,1.28,1.02,1.16,1.38,1.28,1.48,,,
IS,2.96,2.65,3.1,3.12,3.07,2.9,2.86,2.78,4.2,4.52
IT,0.23,0.32,0.24,0.24,0.29,0.28,0.27,0.3,0.27,0.25
LU,,,1.16,1.72,,1.36,,,,
MT,0.65,0.57,,0.45,0.79,1.04,0.72,,,
NL,0.97,0.87,1.03,1.13,1.08,1.03,1.27,1.03,1.04,1.3
NO,1.7,1.77,2.1,2.66,2.68,2.83,2.4,2.6,2.94,2.93
PT,0.37,0.34,0.4,0.37,0.34,0.41,0.38,0.37,0.45,0.33
RS,,,,,,,,,,0.28
SE,2.73,2.97,3.04,3.1,3.4,3.64,3.65,3.54,3.33,3.96
SI,,,,,0.59,,,,,
TR,0.14,0.13,0.14,0.12,0.14,0.17,0.15,0.08,,
UK,1.11,1.05,1.14,1.06,1.24,1.47,1.12,,,
