geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,3.5,3.9,4.8,3.5,3.1,,5.1,5.1,,3.5
BE,3.8,3.9,3.6,5.8,4.3,2.8,3.2,4.4,3.7,3.1
CH,5.8,6.3,6.2,6.1,5.2,6.6,7.0,5.2,4.7,5.8
CZ,1.4,1.6,0.8,1.1,1.3,1.5,1.3,1.6,1.1,1.5
DE,25.7,29.8,30.0,33.3,36.8,32.5,35.3,25.3,32.8,39.6
DK,9.8,11.2,11.7,10.4,10.3,10.7,11.1,9.2,9.8,12.0
EL,,,,,1.4,1.8,,,,
ES,40.7,43.3,36.8,44.3,39.7,44.0,42.3,33.7,34.9,39.6
EU27_2020,191.0,195.8,189.6,202.1,200.9,203.8,204.0,177.9,187.4,217.5
FI,6.3,8.3,7.4,6.7,7.1,8.7,9.2,8.0,8.3,10.1
FR,28.7,18.5,22.6,23.6,17.4,17.0,13.5,17.2,22.0,27.7
IE,3.0,3.5,2.9,3.4,3.8,3.6,4.2,,,
IS,1.6,1.4,1.7,1.6,1.5,1.5,1.4,1.3,1.6,2.0
IT,17.2,23.2,16.8,17.0,20.5,19.9,18.9,20.3,17.6,16.6
LU,,,0.6,0.6,,0.6,,,,
MT,0.5,0.5,,0.4,0.6,0.9,0.6,,,
NL,15.9,14.0,16.6,18.0,16.6,16.2,20.3,15.1,17.8,23.1
NO,7.5,7.6,9.0,11.6,11.7,11.9,10.2,10.9,13.8,14.8
PT,9.2,8.0,9.2,8.2,7.8,9.2,8.1,7.2,7.7,5.7
RS,,,,,,,,,,1.1
SE,18.1,19.5,19.5,19.4,22.1,23.7,23.5,20.8,18.7,23.8
SI,,,,,0.5,,,,,
TR,21.3,21.1,21.3,18.1,22.8,26.9,23.0,11.2,,
UK,53.0,50.8,54.6,54.4,63.3,76.3,56.1,,,
