geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,0.67,0.64,0.88,0.71,0.62,0.56,0.69,0.69,0.62,0.55
BE,0.52,0.58,0.43,0.54,0.53,0.54,0.57,0.64,0.65,0.74
BG,0.35,0.31,0.34,0.37,0.35,0.34,0.39,0.34,0.24,0.24
CH,0.88,0.93,0.93,1.12,1.15,1.19,1.22,1.19,1.22,1.17
CY,0.66,0.46,0.52,1.13,0.92,0.35,0.52,0.75,0.96,0.68
CZ,0.54,0.56,0.5,0.58,0.6,0.64,0.66,0.59,0.56,0.59
DE,0.55,0.56,0.57,0.59,0.61,0.6,0.63,0.64,0.58,0.61
DK,0.93,0.99,1.0,1.01,0.88,0.91,1.02,0.91,1.02,1.18
EE,0.91,1.12,0.56,0.69,0.74,0.83,0.88,0.77,0.75,1.06
EL,0.19,0.25,0.3,0.37,0.44,0.47,0.45,0.51,0.34,0.55
ES,1.16,1.23,1.29,1.21,1.23,1.26,1.23,1.26,1.33,1.5
EU27_2020,0.62,0.61,0.63,0.63,0.63,0.63,0.66,0.68,0.69,0.75
FI,1.13,1.24,1.35,1.42,1.32,1.24,1.31,1.54,1.43,1.29
FR,0.96,0.64,0.68,0.67,0.65,0.66,0.65,0.77,1.19,1.2
HR,0.3,0.2,0.21,0.32,0.31,0.57,0.63,0.48,0.4,0.36
HU,0.28,0.3,0.41,0.34,0.35,0.4,0.49,0.6,0.59,0.58
IE,1.02,0.99,0.91,1.08,1.14,1.08,1.08,0.98,0.98,1.06
IS,2.26,2.22,2.18,2.12,1.9,2.25,2.19,2.4,2.66,2.08
IT,0.55,0.62,0.65,0.59,0.62,0.54,0.65,0.7,0.52,0.7
LT,0.24,0.29,0.3,0.32,0.36,0.36,0.35,0.34,0.2,0.31
LU,0.79,0.75,0.65,1.0,0.94,1.09,0.84,1.01,0.69,1.19
LV,0.53,0.56,0.6,0.49,0.56,0.85,1.34,0.63,,
ME,,,,,,0.91,0.82,,,
MK,0.21,0.41,0.37,0.26,0.31,0.25,0.33,0.35,,
MT,0.69,0.58,0.61,,1.07,0.72,0.81,1.02,0.56,1.32
NL,1.08,1.13,1.11,1.2,1.02,1.2,1.14,1.12,1.05,1.08
NO,0.83,0.83,0.89,0.93,0.94,1.06,1.14,1.11,0.9,0.87
PL,0.3,0.35,0.34,0.39,0.38,0.42,0.35,0.35,0.41,0.43
PT,0.88,1.01,0.93,1.03,1.04,0.85,0.89,0.86,0.9,1.01
RO,0.16,,,,0.16,,0.14,0.21,,0.15
RS,0.54,0.54,0.6,0.45,0.58,0.39,0.34,0.34,0.48,0.55
SE,1.61,1.59,1.71,1.62,1.68,1.62,1.64,1.58,1.59,1.46
SI,0.49,0.42,0.56,0.51,0.59,0.53,0.51,0.47,0.74,0.86
SK,0.51,0.54,0.49,0.42,0.4,0.33,0.4,0.5,,0.39
TR,0.45,0.55,0.64,0.62,0.53,0.68,0.64,0.46,,
UK,1.54,1.65,1.73,1.85,1.64,1.65,1.63,,,
