geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,17.6,14.1,19.6,15.9,13.9,12.7,15.4,15.2,13.6,12.3
BE,9.5,10.2,7.9,9.9,9.3,10.0,10.9,11.7,11.7,13.7
BG,6.1,5.3,6.0,6.4,6.3,6.1,7.1,6.0,4.0,4.2
CH,18.1,19.5,19.6,23.6,23.8,24.4,25.3,24.1,21.5,18.7
CY,0.9,0.6,0.7,1.5,1.4,0.5,0.8,1.2,1.5,1.1
CZ,19.6,20.2,18.2,21.3,22.2,23.9,24.9,21.8,20.0,20.8
DE,126.2,134.1,135.4,142.1,148.5,146.6,153.1,140.1,125.4,131.8
DK,10.4,11.5,11.9,11.7,10.2,11.0,12.3,10.9,12.2,14.4
EE,3.0,3.5,1.8,2.2,2.4,2.7,2.9,2.5,2.4,3.5
EL,2.6,3.4,4.5,5.6,6.9,7.5,7.9,9.0,5.9,10.2
ES,46.0,50.0,54.9,52.9,55.3,58.2,58.2,57.6,63.4,73.3
EU27_2020,571.2,563.7,585.2,596.4,602.1,604.7,631.0,627.0,633.8,696.2
FI,13.0,13.9,15.1,16.0,14.8,14.2,15.1,17.0,16.9,15.6
FR,108.6,75.1,79.6,78.9,76.1,76.1,74.7,85.7,130.8,138.7
HR,2.8,1.9,2.1,3.1,3.2,5.8,6.6,5.0,4.2,3.9
HU,6.9,7.5,10.7,9.2,9.5,10.9,13.6,16.1,16.1,16.1
IE,6.8,7.1,6.7,8.3,9.0,9.0,9.4,8.0,8.1,9.6
IS,1.4,1.5,1.5,1.5,1.3,1.6,1.6,1.7,2.1,1.7
IT,57.1,65.4,69.0,63.7,66.5,58.6,70.7,74.9,54.9,75.9
LT,1.7,2.0,2.1,2.3,2.5,2.5,2.4,2.3,1.3,2.0
LU,0.7,0.6,0.5,0.7,0.6,0.9,0.7,0.9,0.6,1.0
LV,2.7,2.9,3.0,2.4,2.7,4.2,6.5,3.0,,
ME,,,,,,1.3,1.2,,,
MK,0.8,1.6,1.4,1.0,1.3,1.0,1.5,1.5,,
MT,0.4,0.4,0.4,,0.8,0.6,0.7,0.9,0.5,1.5
NL,34.3,36.4,35.6,38.6,32.7,39.1,36.8,35.4,37.2,38.8
NO,9.3,8.9,9.6,9.8,9.9,11.5,12.4,11.6,8.9,8.5
PL,29.5,33.7,33.2,37.9,37.1,40.8,33.5,33.2,39.1,41.3
PT,8.9,10.9,10.5,12.2,13.1,11.4,12.6,12.1,13.1,15.4
RO,8.1,,,,8.3,,7.6,11.0,,7.3
RS,7.0,7.9,8.8,6.9,9.2,6.3,5.5,5.7,8.1,9.4
SE,36.6,36.0,38.6,36.6,38.4,36.5,36.7,34.7,33.9,31.2
SI,2.5,2.2,2.9,2.6,3.1,2.9,2.8,2.5,3.6,4.3
SK,8.8,9.3,8.5,7.5,7.1,5.8,7.0,8.6,,6.6
TR,22.9,28.4,34.3,34.2,30.4,40.8,37.8,26.6,,
UK,190.9,208.1,218.8,234.7,210.9,211.9,208.3,,,
