geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,0.55,0.73,0.84,0.6,0.62,0.59,0.66,0.62,0.61,0.77
BE,0.41,0.3,0.4,0.39,0.45,0.49,0.45,0.5,0.42,0.52
BG,,0.39,0.46,0.52,0.69,0.6,0.65,0.65,0.63,0.51
CH,1.02,1.19,1.38,1.35,1.29,1.35,1.27,1.31,1.16,1.07
CY,0.43,0.69,0.55,0.65,0.83,1.0,1.13,1.14,1.0,0.9
CZ,0.38,0.63,0.71,0.73,0.74,0.66,0.73,0.45,0.62,0.57
DE,0.55,0.5,0.51,0.56,0.56,0.6,0.57,0.56,0.48,0.48
DK,0.31,0.42,0.48,0.63,0.55,0.55,0.63,0.58,0.53,0.7
EE,0.66,0.89,0.88,1.09,0.82,0.86,0.97,0.6,0.85,1.02
EL,0.53,0.83,0.83,0.82,0.87,0.86,0.85,1.11,1.05,1.36
ES,1.1,1.3,1.23,1.23,1.34,1.32,1.34,1.23,1.32,1.27
EU27_2020,0.66,0.71,0.72,0.74,0.76,0.77,0.78,0.73,0.75,0.8
FI,0.65,0.84,0.78,0.75,0.86,0.8,0.69,0.75,0.71,0.58
FR,0.8,0.75,0.74,0.75,0.73,0.84,0.8,0.69,1.04,1.15
HR,,0.88,0.56,0.65,0.67,0.76,0.83,,0.7,0.76
HU,0.45,0.58,0.68,0.61,0.43,0.51,0.63,0.69,0.7,0.7
IE,1.03,0.93,0.87,0.99,0.93,0.98,0.91,0.81,0.67,0.66
IS,1.05,1.0,,1.13,2.03,1.95,1.68,1.58,2.06,2.44
IT,0.68,0.7,0.67,0.8,0.84,0.71,0.81,0.77,0.57,0.76
LT,0.64,0.67,0.8,0.92,0.8,0.82,0.5,0.48,0.79,0.78
LU,,,,0.65,,,,0.53,0.47,0.44
LV,0.61,0.89,0.67,0.97,0.88,1.17,1.07,1.05,1.13,0.9
MK,,,0.43,0.42,0.48,0.43,0.36,,,
MT,,0.88,0.65,,,0.56,0.66,,,
NL,0.54,0.59,0.77,0.71,0.74,0.68,0.8,0.8,0.72,0.69
NO,0.59,0.68,0.65,0.67,0.62,0.76,0.82,0.87,0.63,0.65
PL,0.43,0.45,0.43,0.44,0.52,0.54,0.55,0.49,0.36,0.4
PT,1.07,1.23,1.69,1.58,1.54,1.31,1.27,1.3,0.96,1.33
RO,,,,,,,0.36,0.41,0.36,0.47
RS,0.65,0.82,0.89,0.86,0.93,0.92,1.07,0.82,0.92,0.66
SE,0.91,0.95,0.99,0.93,0.94,1.0,0.94,0.97,0.78,0.7
SI,0.44,0.51,0.74,0.8,0.62,0.63,0.5,0.54,0.91,0.84
SK,0.44,0.55,0.45,0.55,0.63,0.5,0.51,0.45,,
TR,0.37,0.31,0.47,0.43,0.48,0.49,0.52,0.38,,
UK,0.97,1.04,1.07,1.04,1.17,1.11,1.09,,,
