geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,4.8,9.7,11.5,8.5,9.2,8.9,10.3,9.8,9.7,13.0
BE,7.7,6.0,7.9,7.8,9.6,10.8,10.0,11.6,10.4,13.3
BG,,3.7,4.5,5.1,6.8,5.9,6.6,6.7,6.5,5.3
CH,15.4,18.7,22.8,23.5,23.4,25.5,24.7,25.8,21.0,18.2
CY,0.7,1.1,0.9,1.1,1.4,1.9,2.2,2.2,2.1,2.0
CZ,4.2,7.2,8.5,9.0,9.6,8.7,9.6,5.9,8.7,8.0
DE,63.6,54.8,58.4,67.2,67.6,74.3,73.1,68.8,64.3,66.9
DK,2.8,3.8,4.6,6.0,5.5,5.8,6.8,6.4,5.9,8.1
EE,1.6,2.2,2.1,2.7,2.1,2.2,2.6,1.6,2.4,3.0
EL,6.3,9.8,10.2,10.6,11.6,12.1,12.2,16.2,16.2,22.1
ES,77.4,94.5,91.7,95.1,106.8,109.3,115.9,107.8,120.8,119.6
EU27_2020,373.3,411.1,433.5,459.7,486.1,509.1,530.6,507.0,540.0,597.1
FI,6.5,8.6,8.2,7.9,9.3,9.0,8.0,9.0,7.7,6.4
FR,74.8,74.0,75.4,78.5,77.6,93.3,91.6,82.4,125.2,145.3
HR,,3.6,2.4,2.8,3.1,3.7,4.1,,3.4,3.7
HU,4.7,6.4,7.7,6.9,5.0,6.2,7.8,8.9,10.2,10.4
IE,9.2,8.5,8.4,9.8,9.7,10.5,10.1,9.4,8.4,8.7
IS,0.6,0.6,,0.8,1.5,1.5,1.4,1.3,1.6,2.0
IT,29.7,31.6,31.7,38.8,43.3,38.1,44.1,42.4,31.5,42.9
LT,3.4,3.7,4.7,5.5,4.8,5.1,3.2,3.2,5.3,5.5
LU,,,,0.6,,,,0.7,0.7,0.7
LV,1.9,2.7,2.1,3.2,2.9,4.0,3.8,3.8,4.1,3.3
MK,,,0.7,0.8,0.9,0.8,0.8,,,
MT,,0.4,0.4,,,0.4,0.5,,,
NL,13.7,15.6,21.1,19.7,20.9,20.1,24.9,26.4,26.5,26.9
NO,5.6,7.5,7.4,7.6,7.1,9.0,9.8,10.7,8.1,8.5
PL,21.0,23.2,22.8,24.0,29.2,31.4,32.7,29.2,22.1,24.9
PT,10.1,13.2,19.2,18.9,18.9,17.1,17.4,18.8,15.8,22.5
RO,,,,,,,6.7,7.6,6.6,8.9
RS,3.4,5.0,5.7,5.8,6.6,6.8,8.2,6.3,7.2,5.4
SE,15.6,17.1,18.5,18.4,19.3,21.3,20.8,21.7,18.2,17.2
SI,1.2,1.4,2.2,2.5,2.1,2.1,1.8,2.1,3.8,3.6
SK,2.3,2.9,2.5,3.3,3.9,3.3,3.6,3.3,,
TR,18.1,15.6,26.5,25.9,30.5,33.3,36.6,28.1,,
UK,117.3,130.8,139.9,141.4,160.3,155.9,159.7,,,
