DATAFLOW,LAST UPDATE,freq,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,AT,2013,17.6,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,AT,2014,14.1,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,AT,2015,19.6,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,AT,2016,15.9,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,AT,2017,13.9,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,AT,2018,12.7,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,AT,2019,15.4,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,AT,2020,15.2,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,AT,2021,13.6,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,AT,2022,12.3,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BE,2013,9.5,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BE,2014,10.2,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BE,2015,7.9,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BE,2016,9.9,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BE,2017,9.3,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BE,2018,10.0,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BE,2019,10.9,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BE,2020,11.7,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BE,2021,11.7,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BE,2022,13.7,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BG,2013,6.1,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BG,2014,5.3,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BG,2015,6.0,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BG,2016,6.4,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BG,2017,6.3,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BG,2018,6.1,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BG,2019,7.1,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BG,2020,6.0,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BG,2021,4.0,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,BG,2022,4.2,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CH,2013,18.1,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CH,2014,19.5,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CH,2015,19.6,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CH,2016,23.6,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CH,2017,23.8,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CH,2018,24.4,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CH,2019,25.3,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CH,2020,24.1,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CH,2021,21.5,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CH,2022,18.7,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CY,2013,0.9,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CY,2014,0.6,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CY,2015,0.7,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CY,2016,1.5,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CY,2017,1.4,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CY,2018,0.5,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CY,2019,0.8,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CY,2020,1.2,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CY,2021,1.5,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CY,2022,1.1,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CZ,2013,19.6,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED3_4,THS_PER,CZ,2014,20.2,
