DATAFLOW,LAST UPDATE,freq,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,AT,2013,0.55,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,AT,2014,0.73,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,AT,2015,0.84,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,AT,2016,0.60,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,AT,2017,0.62,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,AT,2018,0.59,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,AT,2019,0.66,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,AT,2020,0.62,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,AT,2021,0.61,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,AT,2022,0.77,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BE,2013,0.41,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BE,2014,0.30,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BE,2015,0.40,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BE,2016,0.39,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BE,2017,0.45,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BE,2018,0.49,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BE,2019,0.45,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BE,2020,0.50,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BE,2021,0.42,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BE,2022,0.52,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BG,2013,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BG,2014,0.39,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BG,2015,0.46,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BG,2016,0.52,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BG,2017,0.69,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BG,2018,0.60,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BG,2019,0.65,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BG,2020,0.65,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BG,2021,0.63,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,BG,2022,0.51,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,CH,2013,1.02,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,CH,2014,1.19,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,CH,2015,1.38,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED5-8,PC_EMP,CH,2016,1.35,
