geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,0.72,0.72,0.95,0.65,0.6,0.52,0.74,0.63,0.61,0.61
BE,0.4,0.38,0.36,0.45,0.41,0.39,0.43,0.5,0.48,0.56
BG,,,0.26,0.28,0.33,0.3,0.33,0.31,,0.21
CH,1.12,1.27,1.35,1.45,1.37,1.4,1.45,1.49,1.28,1.22
CY,,0.5,0.33,0.54,0.68,0.48,0.62,0.69,0.62,0.42
CZ,0.52,0.57,0.48,0.55,0.74,0.61,0.55,0.48,0.45,0.52
DE,0.62,0.61,0.6,0.65,0.69,0.68,0.69,0.64,0.56,0.63
DK,0.92,1.06,1.09,1.09,1.0,1.06,1.08,0.92,1.06,1.19
EE,0.59,0.96,0.74,0.76,0.81,0.78,0.9,0.64,0.72,0.99
EL,0.31,0.36,0.31,0.35,0.53,0.59,0.54,0.67,0.49,0.56
ES,0.94,1.09,0.97,0.9,0.97,1.01,0.97,0.9,1.06,1.05
EU27_2020,0.62,0.63,0.64,0.64,0.66,0.67,0.69,0.65,0.68,0.74
FI,1.08,1.27,1.28,1.23,1.34,1.43,1.45,1.56,1.33,1.23
FR,0.78,0.57,0.62,0.58,0.55,0.56,0.57,0.51,0.99,1.08
HR,0.3,0.38,0.24,0.26,0.3,0.53,0.58,0.22,0.31,0.21
HU,0.35,0.29,0.37,0.28,0.3,0.49,0.46,0.52,0.53,0.6
IE,0.83,0.81,0.73,0.92,1.02,0.99,0.93,0.74,0.76,0.8
IS,1.98,2.06,1.64,1.9,2.28,2.56,2.24,2.09,2.68,2.91
IT,0.46,0.57,0.59,0.56,0.55,0.49,0.59,0.6,0.45,0.64
LT,0.41,0.4,0.47,0.5,0.5,0.38,0.4,0.48,0.44,0.55
LU,0.73,,0.66,1.23,0.81,0.71,0.56,0.7,0.56,0.52
LV,0.45,0.62,0.54,0.77,0.49,0.97,1.18,0.68,0.68,0.56
MK,,,,0.21,,,0.25,0.18,,
MT,0.81,0.63,,,,,0.48,0.58,,
NL,0.95,0.98,1.03,1.07,0.99,1.05,1.09,1.08,1.15,0.98
NO,1.02,1.11,1.11,1.14,1.07,1.13,1.13,1.18,1.15,0.99
PL,0.33,0.34,0.36,0.42,0.46,0.51,0.46,0.41,0.32,0.39
PT,0.41,0.63,0.66,0.72,0.81,0.68,0.65,0.67,0.53,0.62
RS,0.31,0.35,0.37,0.35,0.32,0.25,0.3,0.22,0.41,0.28
SE,1.67,1.66,1.73,1.63,1.71,1.81,1.81,1.83,1.68,1.48
SI,0.3,0.37,0.65,0.34,0.37,0.38,0.46,0.39,0.57,0.62
SK,0.34,0.39,0.36,0.38,0.33,0.25,0.45,0.31,,
TR,0.18,0.19,0.17,0.22,0.26,0.31,0.3,0.2,,
UK,1.12,1.2,1.26,1.37,1.32,1.33,1.28,,,
