geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,13.9,13.9,18.6,12.9,12.1,10.5,15.1,12.8,12.4,12.8
BE,8.4,8.0,7.7,9.5,8.8,8.6,9.6,11.3,10.8,13.1
BG,,,3.7,4.0,4.8,4.5,4.9,4.4,,3.2
CH,21.8,25.2,27.4,30.2,28.7,29.7,31.0,31.9,24.3,21.2
CY,,0.9,0.6,0.9,1.2,0.9,1.2,1.4,1.2,0.9
CZ,11.2,12.2,10.6,12.5,17.1,14.4,12.9,11.1,10.4,11.9
DE,114.3,112.7,111.8,125.5,133.4,133.3,137.2,118.1,107.9,124.9
DK,11.5,13.3,13.7,13.9,13.0,14.1,14.5,12.2,14.1,16.5
EE,1.8,2.9,2.3,2.4,2.6,2.5,2.9,2.0,2.3,3.3
EL,4.4,5.3,4.7,5.5,8.4,9.4,8.8,11.0,8.2,9.7
ES,73.5,86.4,78.3,74.7,83.2,88.5,87.6,79.0,97.1,98.8
EU27_2020,525.8,536.6,549.9,560.1,587.5,601.0,623.7,573.3,617.4,687.4
FI,12.8,15.0,15.2,14.5,15.9,17.4,18.0,18.8,16.2,15.5
FR,95.5,71.4,77.9,73.3,69.8,72.4,73.9,66.0,127.4,145.5
HR,2.1,2.7,1.7,1.9,2.3,4.0,4.5,1.6,2.4,1.6
HU,6.3,5.5,7.0,5.6,6.0,9.9,9.4,10.3,11.4,13.3
IE,7.4,7.4,6.9,8.9,10.2,10.2,9.9,7.7,8.4,9.5
IS,1.6,1.7,1.4,1.7,2.0,2.3,2.1,1.9,2.4,2.8
IT,43.0,53.6,55.5,53.5,53.2,47.6,58.3,58.1,42.6,62.0
LT,2.7,2.7,3.2,3.5,3.5,2.7,2.8,3.3,3.0,4.0
LU,0.8,,0.7,1.3,0.8,0.8,0.7,0.9,0.7,0.7
LV,2.0,2.8,2.4,3.5,2.2,4.5,5.4,3.0,3.0,2.5
MK,,,,0.6,,,0.8,0.6,,
MT,0.6,0.5,,,,,0.5,0.6,,
NL,32.9,33.7,36.0,37.9,35.0,38.4,40.8,40.0,49.2,43.2
NO,11.9,13.7,13.8,14.3,13.4,14.3,14.4,15.0,15.0,13.1
PL,22.9,23.9,26.2,30.0,33.8,37.5,33.2,29.8,24.1,29.6
PT,8.9,13.6,14.5,16.2,18.7,16.1,15.7,15.9,12.6,15.2
RS,3.0,3.8,4.1,4.2,3.9,3.2,3.9,2.8,5.1,3.7
SE,37.0,37.4,39.6,38.0,40.7,43.7,43.9,43.4,39.6,36.3
SI,1.2,1.5,2.7,1.4,1.6,1.7,2.1,1.7,2.5,2.8
SK,3.5,4.1,3.9,4.2,3.7,2.9,5.3,3.6,,
TR,13.5,14.9,13.5,18.4,22.4,27.8,26.7,16.9,,
UK,156.0,170.2,181.9,201.4,196.9,201.3,196.9,,,
