geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,0.55,0.64,0.79,0.67,0.63,0.59,0.68,0.76,0.6,0.68
BE,0.51,0.5,0.48,0.57,0.58,0.59,0.56,0.64,0.58,0.65
BG,0.42,0.46,0.43,0.47,0.51,0.49,0.55,0.53,0.5,0.4
CH,0.77,0.84,0.9,0.97,0.99,1.1,1.06,0.95,1.04,1.05
CY,0.76,0.63,0.71,0.97,0.86,0.74,0.82,1.0,1.13,1.01
CZ,0.5,0.59,0.59,0.66,0.55,0.67,0.78,0.62,0.67,0.64
DE,0.49,0.5,0.52,0.53,0.54,0.54,0.55,0.55,0.53,0.51
DK,0.86,0.99,1.04,1.03,0.93,0.93,1.05,0.96,0.92,1.17
EE,1.05,1.07,0.79,0.92,0.71,0.83,0.91,0.74,0.79,1.06
EL,0.26,0.44,0.52,0.56,0.53,0.53,0.54,0.65,0.64,0.99
ES,0.97,1.07,1.08,1.18,1.15,1.17,1.2,1.15,1.15,1.22
EU27_2020,0.61,0.63,0.65,0.68,0.67,0.68,0.7,0.71,0.71,0.76
FI,1.04,1.27,1.25,1.28,1.2,1.11,1.08,1.16,1.28,1.24
FR,0.88,0.72,0.74,0.8,0.74,0.83,0.78,0.87,1.12,1.19
HR,0.3,0.4,0.36,0.47,0.47,0.64,0.72,0.48,0.58,0.68
HU,0.27,0.39,0.51,0.48,0.41,0.37,0.53,0.64,0.64,0.59
IE,1.16,1.14,1.05,1.14,1.1,1.13,1.13,1.09,0.92,0.97
IS,2.19,1.85,2.27,2.15,2.24,2.07,2.06,2.22,2.76,2.59
IT,0.47,0.51,0.47,0.5,0.58,0.51,0.56,0.6,0.47,0.55
LT,0.4,0.5,0.54,0.65,0.59,0.76,0.44,0.32,0.53,0.52
LU,0.59,0.56,0.83,0.94,0.83,0.79,0.68,0.8,0.56,0.94
LV,0.6,0.66,0.66,0.54,0.82,0.85,1.1,0.85,0.71,0.61
ME,,,,,,0.93,,,,
MK,0.23,0.4,0.44,0.29,0.4,0.33,0.34,0.33,,
MT,0.58,0.68,0.7,0.42,0.87,1.1,0.9,0.6,0.31,0.86
NL,0.79,0.81,0.92,0.93,0.87,0.89,0.98,0.89,0.69,0.93
NO,0.86,0.76,0.87,1.07,1.1,1.27,1.25,1.27,1.09,1.25
PL,0.35,0.4,0.36,0.38,0.39,0.41,0.38,0.39,0.45,0.42
PT,0.85,0.8,1.04,0.97,0.86,0.87,0.89,0.91,0.99,1.15
RO,0.21,0.17,0.17,0.17,0.2,0.13,0.22,0.29,0.16,0.23
RS,0.59,0.69,0.76,0.59,0.78,0.66,0.64,0.58,0.66,0.76
SE,1.36,1.42,1.48,1.44,1.5,1.43,1.39,1.3,1.18,1.31
SI,0.58,0.51,0.55,0.8,0.79,0.7,0.52,0.57,1.02,1.08
SK,0.64,0.64,0.54,0.55,0.59,0.5,0.39,0.6,0.57,0.55
TR,0.27,0.27,0.37,0.32,0.32,0.37,0.37,0.27,,
UK,1.32,1.39,1.43,1.37,1.42,1.44,1.33,,,
