geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,11.9,13.9,17.3,15.0,14.2,13.6,15.8,17.3,13.6,15.9
BE,12.6,12.1,11.7,14.1,14.4,14.9,14.4,16.4,14.9,17.1
BG,6.5,7.2,6.9,7.6,8.5,8.3,9.5,8.9,8.2,6.7
CH,17.5,19.5,21.2,23.2,23.9,26.9,26.1,23.3,23.0,21.7
CY,1.4,1.2,1.3,1.8,1.7,1.6,1.8,2.2,2.6,2.4
CZ,13.9,16.7,16.8,19.0,16.0,19.7,22.9,18.3,19.5,18.4
DE,103.9,106.1,112.4,117.8,119.8,121.5,125.0,116.7,114.6,113.4
DK,11.9,13.9,15.0,14.7,13.5,13.9,15.9,14.4,13.8,18.2
EE,3.3,3.4,2.5,3.0,2.3,2.8,3.1,2.4,2.6,3.7
EL,5.3,8.9,10.9,11.8,11.5,11.9,12.3,14.5,14.6,23.8
ES,90.6,101.5,105.0,117.6,118.5,122.9,128.9,120.1,122.0,133.7
EU27_2020,614.7,636.2,660.7,700.9,704.4,720.5,745.3,741.8,746.8,826.1
FI,13.0,15.8,15.5,16.1,15.3,14.5,14.3,15.3,16.9,16.5
FR,117.3,96.5,99.9,107.7,101.3,114.2,107.0,119.4,151.8,167.8
HR,2.4,3.4,3.1,4.1,4.1,5.7,6.5,4.3,5.3,6.2
HU,5.7,8.7,11.6,11.4,9.8,9.0,13.2,15.7,15.9,14.8
IE,12.1,12.2,11.6,13.0,13.0,13.7,14.1,13.5,11.7,13.1
IS,2.0,1.7,2.2,2.2,2.3,2.2,2.2,2.3,2.9,2.9
IT,60.9,66.6,62.0,65.9,77.1,69.0,75.4,79.6,61.4,73.3
LT,2.6,3.2,3.6,4.3,3.9,5.1,3.0,2.2,3.6,3.6
LU,0.8,0.7,1.1,1.2,1.0,1.1,1.0,1.2,0.9,1.5
LV,2.6,2.9,2.9,2.3,3.6,3.8,4.9,3.7,3.1,2.7
ME,,,,,,1.2,,,,
MK,0.9,1.7,1.9,1.3,1.8,1.5,1.6,1.6,,
MT,0.7,0.8,0.9,0.5,1.2,1.6,1.4,0.9,0.5,1.4
NL,31.9,32.9,37.7,38.7,36.0,37.7,42.0,37.9,33.0,45.6
NO,11.7,10.5,12.1,14.8,15.3,18.0,18.0,18.1,15.8,18.6
PL,29.8,34.7,31.5,33.9,35.3,37.1,34.6,34.9,40.4,38.1
PT,19.4,18.5,24.3,23.0,21.0,21.6,22.3,22.2,24.0,28.3
RO,9.9,8.1,8.1,8.3,10.0,6.7,10.7,14.1,7.2,10.2
RS,7.8,10.0,11.1,9.0,12.2,10.5,10.4,9.4,10.6,12.3
SE,33.3,35.3,37.1,36.6,39.1,38.0,37.3,34.5,31.7,36.3
SI,2.8,2.5,2.7,3.9,4.0,3.7,2.7,3.0,5.4,5.8
SK,8.3,8.4,7.3,7.6,8.2,7.1,5.5,8.3,7.8,7.5
TR,48.8,50.1,68.5,59.7,61.3,73.2,70.7,49.1,,
UK,208.3,224.9,235.6,229.9,238.5,244.2,227.8,,,
