DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,AT,2013,13.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,AT,2014,13.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,AT,2015,18.6,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,AT,2016,12.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,AT,2017,12.1,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,AT,2018,10.5,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,AT,2019,15.1,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,AT,2020,12.8,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,AT,2021,12.4,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,AT,2022,12.8,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BE,2013,8.4,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BE,2014,8.0,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BE,2015,7.7,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BE,2016,9.5,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BE,2017,8.8,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BE,2018,8.6,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BE,2019,9.6,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BE,2020,11.3,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BE,2021,10.8,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BE,2022,13.1,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BG,2013,,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BG,2014,,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BG,2015,3.7,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BG,2016,4.0,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BG,2017,4.8,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BG,2018,4.5,u
