DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,AT,2013,0.55,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,AT,2014,0.64,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,AT,2015,0.79,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,AT,2016,0.67,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,AT,2017,0.63,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,AT,2018,0.59,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,AT,2019,0.68,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,AT,2020,0.76,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,AT,2021,0.60,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,AT,2022,0.68,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BE,2013,0.51,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BE,2014,0.50,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BE,2015,0.48,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BE,2016,0.57,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BE,2017,0.58,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BE,2018,0.59,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BE,2019,0.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BE,2020,0.64,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BE,2021,0.58,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BE,2022,0.65,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BG,2013,0.42,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BG,2014,0.46,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BG,2015,0.43,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BG,2016,0.47,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BG,2017,0.51,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BG,2018,0.49,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BG,2019,0.55,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BG,2020,0.53,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BG,2021,0.50,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,BG,2022,0.40,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CH,2013,0.77,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CH,2014,0.84,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CH,2015,0.90,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CH,2016,0.97,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CH,2017,0.99,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CH,2018,1.10,
