DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,AT,2013,11.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,AT,2014,13.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,AT,2015,17.3,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,AT,2016,15.0,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,AT,2017,14.2,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,AT,2018,13.6,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,AT,2019,15.8,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,AT,2020,17.3,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,AT,2021,13.6,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,AT,2022,15.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BE,2013,12.6,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BE,2014,12.1,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BE,2015,11.7,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BE,2016,14.1,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BE,2017,14.4,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BE,2018,14.9,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BE,2019,14.4,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BE,2020,16.4,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BE,2021,14.9,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BE,2022,17.1,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BG,2013,6.5,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BG,2014,7.2,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BG,2015,6.9,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BG,2016,7.6,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BG,2017,8.5,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BG,2018,8.3,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BG,2019,9.5,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BG,2020,8.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BG,2021,8.2,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,BG,2022,6.7,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,CH,2013,17.5,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,CH,2014,19.5,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,CH,2015,21.2,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,CH,2016,23.2,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,CH,2017,23.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,CH,2018,26.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,CH,2019,26.1,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,CH,2020,23.3,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,THS_PER,CH,2021,23.0,b
