geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,0.63,0.67,0.87,0.66,0.62,0.56,0.71,0.7,0.6,0.65
BE,0.46,0.44,0.43,0.51,0.5,0.49,0.5,0.58,0.53,0.6
BG,0.31,0.31,0.35,0.38,0.42,0.4,0.44,0.43,0.36,0.31
CH,0.93,1.04,1.1,1.19,1.16,1.24,1.24,1.2,1.15,1.13
CY,0.53,0.56,0.53,0.76,0.77,0.61,0.73,0.86,0.89,0.73
CZ,0.51,0.58,0.54,0.61,0.63,0.64,0.68,0.56,0.57,0.59
DE,0.55,0.55,0.56,0.59,0.61,0.61,0.62,0.59,0.54,0.56
DK,0.89,1.02,1.06,1.06,0.96,1.0,1.06,0.94,0.99,1.18
EE,0.82,1.01,0.77,0.84,0.76,0.81,0.9,0.69,0.76,1.03
EL,0.28,0.4,0.43,0.47,0.53,0.56,0.54,0.66,0.58,0.81
ES,0.96,1.08,1.03,1.05,1.07,1.09,1.09,1.04,1.11,1.14
EU27_2020,0.62,0.63,0.64,0.66,0.67,0.67,0.69,0.68,0.7,0.75
FI,1.06,1.27,1.26,1.26,1.27,1.26,1.26,1.35,1.3,1.24
FR,0.83,0.64,0.68,0.69,0.65,0.7,0.68,0.7,1.06,1.13
HR,0.3,0.39,0.3,0.37,0.39,0.59,0.65,0.36,0.46,0.46
HU,0.31,0.35,0.44,0.39,0.36,0.42,0.5,0.58,0.59,0.6
IE,1.01,0.99,0.9,1.04,1.07,1.06,1.04,0.93,0.84,0.9
IS,2.09,1.95,1.97,2.03,2.25,2.3,2.14,2.16,2.73,2.74
IT,0.47,0.54,0.52,0.52,0.57,0.5,0.57,0.6,0.46,0.59
LT,0.41,0.45,0.51,0.57,0.54,0.57,0.42,0.4,0.49,0.54
LU,0.65,0.49,0.75,1.07,0.82,0.75,0.62,0.76,0.56,0.75
LV,0.52,0.64,0.6,0.66,0.65,0.91,1.14,0.76,0.7,0.59
ME,0.78,0.66,,,0.53,0.66,0.64,0.73,,
MK,0.17,0.28,0.31,0.26,0.3,0.26,0.3,0.27,,
MT,0.67,0.66,0.55,0.35,0.68,0.78,0.73,0.59,0.3,0.67
NL,0.87,0.89,0.97,1.0,0.93,0.97,1.03,0.97,0.91,0.95
NO,0.94,0.92,0.98,1.1,1.09,1.21,1.19,1.23,1.12,1.13
PL,0.34,0.37,0.36,0.4,0.42,0.46,0.42,0.4,0.39,0.41
PT,0.64,0.71,0.85,0.85,0.84,0.77,0.77,0.79,0.76,0.89
RO,0.16,0.12,0.14,0.15,0.17,0.12,0.18,0.23,0.16,0.21
RS,0.47,0.54,0.59,0.49,0.58,0.48,0.49,0.42,0.55,0.55
SE,1.51,1.54,1.6,1.53,1.6,1.61,1.59,1.55,1.41,1.39
SI,0.45,0.45,0.6,0.59,0.6,0.56,0.5,0.49,0.82,0.87
SK,0.51,0.53,0.46,0.47,0.47,0.39,0.42,0.47,0.39,0.44
TR,0.24,0.25,0.31,0.29,0.3,0.35,0.35,0.25,,
UK,1.23,1.3,1.35,1.37,1.37,1.39,1.3,,,
