geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,25.8,27.8,35.9,27.9,26.3,24.1,30.9,30.0,26.0,28.7
BE,21.0,20.1,19.4,23.6,23.2,23.5,24.0,27.7,25.7,30.2
BG,9.0,9.3,10.6,11.5,13.4,12.8,14.4,13.3,11.0,9.9
CH,39.3,44.7,48.6,53.4,52.6,56.6,57.1,55.2,47.3,42.9
CY,1.9,2.0,1.9,2.8,2.9,2.5,3.0,3.6,3.8,3.3
CZ,25.1,29.0,27.4,31.4,33.1,34.1,35.8,29.4,29.8,30.3
DE,218.2,218.8,224.2,243.3,253.3,254.8,262.2,234.7,222.5,238.3
DK,23.4,27.1,28.7,28.6,26.5,28.0,30.4,26.6,27.9,34.6
EE,5.1,6.3,4.8,5.4,4.9,5.3,6.0,4.5,4.9,7.0
EL,9.7,14.2,15.6,17.3,19.9,21.3,21.1,25.5,22.7,33.5
ES,164.1,187.9,183.3,192.3,201.8,211.4,216.4,199.1,219.1,232.5
EU27_2020,1140.5,1172.8,1210.7,1260.9,1292.0,1321.6,1369.0,1315.1,1364.2,1513.4
FI,25.8,30.8,30.7,30.6,31.2,32.0,32.3,34.1,33.1,32.1
FR,212.8,167.9,177.9,181.0,171.1,186.6,180.9,185.4,279.2,313.3
HR,4.6,6.1,4.8,5.9,6.4,9.7,10.9,6.0,7.6,7.8
HU,12.0,14.2,18.7,17.0,15.8,18.9,22.6,26.0,27.3,28.1
IE,19.4,19.6,18.4,21.9,23.2,23.8,24.1,21.2,20.0,22.6
IS,3.6,3.5,3.6,3.9,4.4,4.5,4.3,4.2,5.4,5.8
IT,103.9,120.2,117.5,119.4,130.3,116.6,133.7,137.6,103.9,135.4
LT,5.2,5.9,6.8,7.8,7.4,7.8,5.8,5.5,6.6,7.6
LU,1.5,1.2,1.8,2.4,1.8,1.9,1.7,2.1,1.6,2.2
LV,4.7,5.7,5.4,5.8,5.8,8.3,10.3,6.8,6.0,5.2
ME,1.6,1.4,,,1.2,1.6,1.6,1.6,,
MK,1.1,1.9,2.2,1.9,2.3,1.9,2.4,2.1,,
MT,1.2,1.3,1.1,0.7,1.5,1.9,1.9,1.5,0.8,1.9
NL,64.8,66.6,73.8,76.6,71.0,76.1,82.7,77.9,82.2,88.8
NO,23.5,24.2,25.9,29.0,28.7,32.4,32.4,33.1,30.8,31.7
PL,52.8,58.7,57.7,63.8,69.1,74.7,67.8,64.7,64.4,67.7
PT,28.3,32.1,38.9,39.2,39.8,37.7,38.0,38.1,36.6,43.6
RO,14.1,10.8,12.3,12.7,15.0,10.8,15.3,19.3,12.1,16.4
RS,10.8,13.8,15.2,13.2,16.1,13.7,14.3,12.2,15.7,15.9
SE,70.3,72.7,76.7,74.7,79.9,81.8,81.3,77.9,71.3,72.5
SI,4.1,4.0,5.4,5.3,5.7,5.4,4.8,4.7,7.9,8.5
SK,11.8,12.5,11.2,11.8,11.9,9.9,10.8,11.9,10.0,11.3
TR,62.3,65.0,82.0,78.1,83.8,101.0,97.4,65.9,,
UK,364.3,395.1,417.6,431.3,435.3,445.5,424.7,,,
