DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,AT,2013,0.63,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,AT,2014,0.67,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,AT,2015,0.87,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,AT,2016,0.66,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,AT,2017,0.62,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,AT,2018,0.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,AT,2019,0.71,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,AT,2020,0.70,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,AT,2021,0.60,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,AT,2022,0.65,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BE,2013,0.46,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BE,2014,0.44,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BE,2015,0.43,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BE,2016,0.51,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BE,2017,0.50,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BE,2018,0.49,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BE,2019,0.50,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BE,2020,0.58,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BE,2021,0.53,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BE,2022,0.60,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BG,2013,0.31,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BG,2014,0.31,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BG,2015,0.35,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BG,2016,0.38,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BG,2017,0.42,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BG,2018,0.40,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BG,2019,0.44,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BG,2020,0.43,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BG,2021,0.36,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,BG,2022,0.31,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CH,2013,0.93,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CH,2014,1.04,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CH,2015,1.10,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CH,2016,1.19,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CH,2017,1.16,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CH,2018,1.24,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CH,2019,1.24,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CH,2020,1.20,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CH,2021,1.15,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CH,2022,1.13,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CY,2013,0.53,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CY,2014,0.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CY,2015,0.53,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CY,2016,0.76,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CY,2017,0.77,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CY,2018,0.61,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CY,2019,0.73,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CY,2020,0.86,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CY,2021,0.89,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CY,2022,0.73,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CZ,2013,0.51,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CZ,2014,0.58,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CZ,2015,0.54,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CZ,2016,0.61,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CZ,2017,0.63,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CZ,2018,0.64,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CZ,2019,0.68,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CZ,2020,0.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CZ,2021,0.57,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,CZ,2022,0.59,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DE,2013,0.55,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DE,2014,0.55,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DE,2015,0.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DE,2016,0.59,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DE,2017,0.61,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DE,2018,0.61,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DE,2019,0.62,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DE,2020,0.59,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DE,2021,0.54,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DE,2022,0.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DK,2013,0.89,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DK,2014,1.02,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DK,2015,1.06,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DK,2016,1.06,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DK,2017,0.96,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DK,2018,1.00,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DK,2019,1.06,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DK,2020,0.94,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DK,2021,0.99,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,DK,2022,1.18,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EE,2013,0.82,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EE,2014,1.01,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EE,2015,0.77,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EE,2016,0.84,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EE,2017,0.76,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EE,2018,0.81,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EE,2019,0.90,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EE,2020,0.69,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EE,2021,0.76,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EE,2022,1.03,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EL,2013,0.28,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EL,2014,0.40,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EL,2015,0.43,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EL,2016,0.47,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EL,2017,0.53,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EL,2018,0.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EL,2019,0.54,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EL,2020,0.66,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EL,2021,0.58,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EL,2022,0.81,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ES,2013,0.96,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ES,2014,1.08,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ES,2015,1.03,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ES,2016,1.05,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ES,2017,1.07,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ES,2018,1.09,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ES,2019,1.09,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ES,2020,1.04,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ES,2021,1.11,bd
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ES,2022,1.14,d
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EU27_2020,2013,0.62,
